Symbol,Name,Last Sale,Net Change,% Change,Market Cap
BSBR,"Banco Santander Brasil SA American Depositary Shares, each representing one unit",$7.80,0.09,1.167%,"58,241,734,200"
NOC,Northrop Grumman Corporation Common Stock,$361.46,1.49,0.414%,"58,181,038,244"
STLA,Stellantis N.V. Common Shares,$18.49,0.54,3.008%,"57,897,328,741"
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",$253.55,1.31,0.519%,"57,254,282,194"
IDXX,"IDEXX Laboratories, Inc. Common Stock",$670.51,1.12,0.167%,"57,181,531,314"
SNP,China Petroleum & Chemical Corporation Common Stock,$46.84,0.67,1.451%,"56,709,754,577"
F,Ford Motor Company Common Stock,$14.19,0.28,2.013%,"56,641,434,873"
GPN,Global Payments Inc. Common Stock,$191.81,3.06,1.621%,"56,625,327,637"
ROKU,"Roku, Inc. Class A Common Stock",$422.13,4.93,1.182%,"55,889,413,842"
TWTR,"Twitter, Inc. Common Stock",$69.54,1.60,2.355%,"55,501,725,920"
DIDI,DiDi Global Inc. American Depositary Shares (each four representing one Class A Ordinary Share),$11.50,0.29,2.587%,"55,467,276,974"
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),$5.64,0.09,1.622%,"55,295,323,363"
PGR,Progressive Corporation (The) Common Stock,$94.01,-0.41,-0.434%,"55,014,652,000"
NXPI,NXP Semiconductors N.V. Common Stock,$198.62,5.31,2.747%,"54,768,834,779"
HMC,"Honda Motor Company, Ltd. Common Stock",$31.67,0.15,0.476%,"54,683,172,338"
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),$28.09,0.09,0.321%,"54,310,360,920"
GD,General Dynamics Corporation Common Stock,$191.63,1.62,0.853%,"54,154,213,731"
PSA,Public Storage Common Stock,$308.29,-3.90,-1.249%,"53,944,010,781"
UBS,UBS Group AG Registered Ordinary Shares,$15.80,0.53,3.471%,"53,190,941,313"
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),$16.85,-0.16,-0.941%,"53,124,272,500"
DG,Dollar General Corporation Common Stock,$224.22,-2.19,-0.967%,"52,961,994,968"
ROP,"Roper Technologies, Inc. Common Stock",$493.79,2.23,0.454%,"51,965,979,636"
LULU,lululemon athletica inc. Common Stock,$383.62,0.32,0.083%,"51,926,144,524"
AON,Aon plc Class A Ordinary Shares (Ireland),$230.06,1.27,0.555%,"51,912,406,335"
AMX,"America Movil, S.A.B. de C.V. American Depository Receipt Series L",$15.65,0.06,0.385%,"51,723,250,000"
